id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3191,Home in Southern Suburbs · ★4.81 · 1 bedroom · 1 bed · 1 bath,3754,Brigitte,,Ward 57,-33.94762,18.47599,Entire home/apt,685,3,74,2023-04-02,0.60,1,293,8,
15007,Home in Cape Town · ★4.82 · 3 bedrooms · 4 beds · 3 baths,59072,Dirk,,Ward 23,-33.80001,18.46063,Entire home/apt,3187,2,46,2023-05-04,0.40,2,313,9,
15077,Rental unit in Tableview - Sunset Beach · ★5.0 · 1 bedroom · 2 beds · 1.5 baths,59342,Georg,,Ward 4,-33.858356,18.490376,Private room,1115,2,7,2022-06-16,0.05,6,196,0,
15199,Rental unit in Cape Town · 1 bedroom · 1 bed · 1 bath,59694,Alexa,,Ward 115,-33.91115,18.41235,Entire home/apt,2500,14,2,2016-04-15,0.02,1,365,0,
15285,Guesthouse in Southern Suburbs · ★5.0 · 2 bedrooms · 4 beds · 1.5 baths,59964,Chris+Alison,,Ward 71,-34.03672,18.43006,Entire home/apt,1714,2,11,2022-01-17,0.08,3,0,0,
15354,Guest suite in Durbanville · 2 bedrooms · 2 beds · 1 bath,60196,Ian,,Ward 112,-33.83074,18.63142,Entire home/apt,650,3,0,,,1,0,0,
15480,Rental unit in Cape Town · ★4.36 · 1 bedroom · 1 bed · 1 bath,60443,Jean,,Ward 115,-33.92876,18.42247,Entire home/apt,690,30,23,2022-08-24,0.14,1,119,1,
15704,Villa in Cape Town · 6 bedrooms · 6 beds · 6.5 baths,61441,Kevin,,Ward 54,-33.9659,18.37724,Entire home/apt,22321,4,2,2023-03-01,0.03,7,316,1,
16259,Guesthouse in Southern Suburbs · ★5.0 · 1 bedroom · 1 bed · 1 bath,63255,Cheryl,,Ward 59,-33.99612,18.46563,Entire home/apt,995,2,16,2022-04-27,0.15,3,301,0,
18499,Home in Parow · 1 bedroom · 4 beds · 2 baths,71221,Abe,,Ward 2,-33.89034,18.58852,Private room,1099,7,0,,,1,0,0,
19271,Guest suite in Cape Town · ★4.94 · 1 bedroom · 1 bed · 1 bath,73439,Beverley,,Ward 59,-33.97918,18.45549,Entire home/apt,570,2,102,2023-06-01,0.74,5,285,23,
19384,Rental unit in Cape Town · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,73764,Ingrid,,Ward 77,-33.92674,18.40597,Entire home/apt,1400,1,9,2023-03-29,0.12,1,70,3,
19561,Rental unit in Durbanville · 1 bedroom · 3 beds · 1 bath,74188,Cherry,,Ward 103,-33.84229,18.67832,Private room,3727,2,0,,,1,0,0,
19658,Home in Milnerton · 1 bedroom · 1 bed · 1 bath,74504,Ricardo,,Ward 5,-33.87208,18.53586,Private room,1863,7,0,,,1,0,0,
